p_id,brand_id,name,price,color,brand_name,ratingCount,avg_rating
11672562,750.0,ROADSTER WOMEN GREY REGULAR FIT SOLID CROPPED JOGGERS,2399.0,GREY,ROADSTER,101.0,4.257425743
12873874,79.0,ANUBHUTEE WOMEN PINK & WHITE PRINTED KURTA WITH TROUSERS & DUPATTA,3999.0,PINK,ANUBHUTEE,1129.0,4.245349867
13300760,446.0,KALT WOMEN NAVY BLUE & GREY SELF DESIGN CARDIGAN,2099.0,NAVY BLUE,KALT,158.0,4.392405063
15386574,342.0,GRACIT WOMEN PACK OF 2 BLACK & WHITE BIKER SHORTS,1198.0,BLACK,GRACIT,74.0,4.337837838
15766760,459.0,KAZO WOMEN MAROON & GREY STRIPED LUREX SHRUG,2990.0,MAROON,KAZO,184.47941042394774,4.101225865898192
15916822,583.0,MITERA NAVY BLUE FLORAL EMBROIDERED SEQUINNED ORGANZA SAREE,6999.0,NAVY BLUE,MITERA,85.0,3.117647059
16990014,783.0,SASSAFRAS WOMEN PRETTY PINK SOLID PLAYSUIT,1799.0,PINK,SASSAFRAS,12.0,3.583333333
17158326,3.0,20DRESSES WOMEN BROWN CROP COTTON TAILORED JACKET,2995.0,BROWN,20DRESSES,184.47941042394774,4.101225865898192
17761814,95.0,ATHENA WOMEN TRENDY BEIGE SOLID TOP WITH SHORTS,2299.0,BEIGE,ATHENA,184.47941042394774,4.101225865898192
17870016,1020.0,ZOLA PEACH-COLOURED & GREEN FLORAL PRINTED COTTON TUNIC,1755.0,PEACH,ZOLA,184.47941042394774,4.101225865898192
18068630,313.0,FOREVER 21 WOMEN BLACK SOLID CROP TOP,1399.0,BLACK,FOREVER 21,15.0,4.733333333
18676680,261.0,ETHNIC YARD BROWN & PINK SEMI-STITCHED LEHENGA & UNSTITCHED BLOUSE WITH DUPATTA,3699.0,BROWN,ETHNIC YARD,184.47941042394774,4.101225865898192
19298160,937.0,V2 VALUE & VARIETY GIRLS YELLOW STRIPED MINI SKIRTS,569.0,YELLOW,V2 VALUE & VARIETY,184.47941042394774,4.101225865898192
19342398,597.0,MORLY WOMEN PEACH & NAVY BLUE DUPION SILK UNSTITCHED DRESS MATERIAL,2499.0,PEACH,MORLY,184.47941042394774,4.101225865898192
8927013,389.0,INDDUS WOMEN BLACK SOLID STRETCHABLE SAREE BLOUSE,1199.0,BLACK,INDDUS,396.0,4.131313131
12391802,903.0,TOKYO TALKIES WOMEN BLUE REGULAR FIT SOLID REGULAR TROUSERS,2149.0,BLUE,TOKYO TALKIES,275.0,3.941818182
12496778,179.0,CLORA CREATION OFF-WHITE STRIPED DUPATTA,1199.0,OFF WHITE,CLORA CREATION,108.0,4.648148148
15189166,535.0,MAFADENY WOMEN MAUVE LONGLINE SHRUG,3590.0,MAUVE,MAFADENY,6.0,4.333333333
15301440,783.0,SASSAFRAS BLACK HALTER NECK FITTED CROP TOP,1199.0,BLACK,SASSAFRAS,179.0,4.212290503
15865190,688.0,PLUSS WOMEN PLUS SIZE BLACK STRIPED HOODED SWEATSHIRT,2980.0,BLACK,PLUSS,30.0,3.566666667
16043128,841.0,STREET 9 WOMEN GORGEOUS GREEN SOLID CO-ORD SET,2199.0,GREEN,STREET 9,5.0,4.4
16989112,920.0,TWISHA GIRLS NAVY BLUE & PINK SOLID GOTTA PATTI TOP WITH GHAGHRA,1499.0,NAVY BLUE,TWISHA,184.47941042394774,4.101225865898192
16990010,783.0,SASSAFRAS WOMEN BLUE FLARED FIT HIGH-RISE JEANS,2399.0,BLUE,SASSAFRAS,32.0,4.34375
17278688,904.0,TOMMY HILFIGER WOMEN LIGHT BLUE MID-RISE DISTRESSED DENIM SHORTS,3999.0,BLUE,TOMMY HILFIGER,184.47941042394774,4.101225865898192
17714332,319.0,FREAKINS WOMEN BLACK SOLID TAILORED JACKET,2399.0,BLACK,FREAKINS,184.47941042394774,4.101225865898192
18413468,668.0,PARALIANS WOMEN BLACK EMBROIDERED CROP TOP,999.0,BLACK,PARALIANS,5.0,4.6
